Zip,Median,Mean,Pop,Wealth,Ratio
2825,73268,95033,4922,21764,0.30
2826,65948,78029,832,12081,0.18
2827,79051,88882,2149,9830,0.12
2828,78326,92802,7396,14475,0.18
2830,65423,75289,5806,9866,0.15
2831,68687,81386,3487,12699,0.18
2832,71453,81507,4481,10053,0.14
2833,71104,79440,708,8336,0.12
2835,77813,107319,5617,29506,0.38
2836,72819,89720,98,16901,0.23
2837,94866,114713,3592,19847,0.21
2838,62982,77405,3712,14423,0.23
2839,65948,78029,1833,12081,0.18
2840,58815,77476,25661,18661,0.32
2841,53958,58483,840,4525,0.08
2842,70801,83980,17305,13179,0.19
2852,76449,96571,23107,20121,0.26
2857,74686,86941,8462,12254,0.16
2858,65948,78029,545,12081,0.18
2859,70127,77007,6798,6879,0.10
2860,35154,44984,46470,9830,0.28
2861,53929,61309,26624,7380,0.14
2863,33666,40875,18946,7208,0.21
2864,73450,84792,31834,11341,0.15
2865,75540,94794,16435,19254,0.25
2871,59264,80285,12418,21020,0.35
2872,71705,94978,88,23273,0.32
2873,71104,79440,161,8336,0.12
2874,90020,118609,5081,28588,0.32
2875,72819,89720,307,16901,0.23
2876,80080,88709,80,8629,0.11
2878,62530,76645,15257,14115,0.23
2879,70848,90447,19172,19599,0.28
2881,47075,60168,6387,13093,0.28
2882,61144,87365,14807,26220,0.43
2885,54317,71228,11386,16910,0.31
2886,59954,71363,30234,11408,0.19
2888,58509,66680,20650,8170,0.14
2889,60122,68714,29615,8591,0.14
2891,61399,74554,21338,13154,0.21
2892,80222,98074,4846,17852,0.22
2893,52342,60430,29518,8088,0.15
2894,72539,88044,730,15504,0.21
2895,40457,48968,43198,8510,0.21
2896,79213,87184,10549,7971,0.10
2898,72768,89413,1672,16644,0.23
2903,26262,51971,9350,25709,0.98
2904,44102,57490,28539,13387,0.30
2905,34503,46205,20393,11702,0.34
2906,64563,102753,29878,38189,0.59
2907,30216,40140,27163,9923,0.33
2908,40373,52099,38036,11726,0.29
2909,33877,45087,40945,11209,0.33
2910,58287,62429,20959,4141,0.07
2911,48687,58607,15508,9920,0.20
2912,60938,124502,1016,63564,1.04
2914,46275,55014,22316,8738,0.19
2915,52780,67882,18127,15102,0.29
2916,59302,73541,8220,14238,0.24
2917,71030,85287,13288,14257,0.20
2919,59408,66484,28253,7075,0.12
2920,54380,65389,37423,11008,0.20
2921,85748,105690,10608,19942,0.23
3031,115544,134503,10879,18959,0.16
3032,90082,98874,4674,8792,0.10
3033,101722,105947,4185,4225,0.04
3034,90986,96056,3961,5069,0.06
3036,99970,114222,3785,14252,0.14
3037,85573,93969,3638,8396,0.10
3038,72374,82126,33893,9752,0.13
3042,73405,87635,5479,14230,0.19
3043,67541,77721,1500,10179,0.15
3044,76929,80916,3491,3987,0.05
3045,76696,85933,12705,9237,0.12
3046,95682,112556,2226,16874,0.18
3047,69136,80002,1686,10865,0.16
3048,63151,70795,3333,7644,0.12
3049,112885,159945,7013,47060,0.42
3051,77996,88948,22952,10952,0.14
3052,100051,102541,7331,2490,0.02
3053,93465,104876,23364,11411,0.12
3054,92954,100328,25094,7373,0.08
3055,70617,80757,13437,10139,0.14
3057,97234,110769,2091,13535,0.14
3060,45861,58717,29540,12855,0.28
3062,83501,94152,26234,10651,0.13
3063,75894,85916,16175,10021,0.13
3064,68657,83760,14652,15102,0.22
3070,86118,108691,4097,22572,0.26
3071,72739,85830,4294,13091,0.18
3076,93085,103680,10913,10594,0.11
3077,61164,69251,9669,8086,0.13
3079,68841,87526,28011,18685,0.27
3082,80299,77177,1519,-3122,-0.04
3084,72806,85920,1270,13114,0.18
3086,68090,97907,3775,29817,0.44
3087,114204,134056,10705,19851,0.17
3101,28275,44234,2754,15958,0.56
3102,50355,60184,30331,9828,0.20
3103,51018,59129,36749,8110,0.16
3104,61017,74121,31954,13104,0.21
3106,53663,67135,7285,13471,0.25
3109,67513,73274,9484,5760,0.09
3110,117684,146355,18257,28670,0.24
3215,49073,61071,256,11998,0.24
3216,64522,73462,1985,8940,0.14
3217,44153,63301,1924,19148,0.43
3218,65727,70499,918,4772,0.07
3220,56585,60860,6777,4274,0.08
3221,67314,79913,1796,12599,0.19
3222,47954,57441,5020,9487,0.20
3223,44546,58613,2831,14066,0.32
3224,78500,85675,1947,7175,0.09
3225,65804,70742,2991,4938,0.08
3226,1341,1856,30,514,0.38
3227,51866,69455,963,17589,0.34
3229,86083,112531,5387,26448,0.31
3230,62943,70846,1138,7903,0.13
3231,64522,73462,117,8940,0.14
3233,66146,93832,154,27686,0.42
3234,71686,76545,4026,4859,0.07
3235,49138,54173,8470,5034,0.10
3237,64219,78346,1878,14127,0.22
3238,44050,54023,61,9973,0.23
3240,54297,60586,1138,6289,0.12
3241,70144,97030,679,26886,0.38
3242,73472,79535,4444,6063,0.08
